id,conversacion
1,"El servicio fue excelente y muy rápido"
2,"No estoy satisfecho con la atención recibida"
3,"La calidad del producto es muy buena, lo recomiendo"
4,"Tardaron mucho en atenderme y no resolvieron mi problema"
5,"El catálogo de juegos es muy amplio, me encanta"
6,"La tienda está bien organizada, pero el personal no fue muy atento"
7,"Siempre encuentro lo que busco, es una tienda confiable"
8,"El producto estaba dañado al abrirlo, fue decepcionante"
9,"Las ofertas son increíbles, definitivamente volveré"
10,"La atención al cliente fue aceptable, aunque podría mejorar"
11,"Todo fue rápido y sin problemas, muy recomendado"
12,"Me cobraron más de lo que decía el precio en el estante"
13,"Tienen títulos exclusivos que no encuentro en otros lados"
14,"Los precios son algo altos comparados con otras tiendas"
15,"La experiencia de compra fue perfecta, sin dudas regresaré"
16,"Los envíos tardan demasiado, no estoy satisfecho"
17,"El personal fue muy amable y me ayudó a elegir el mejor juego"
18,"Había demasiada gente y el tiempo de espera fue largo"
19,"Los productos llegaron en excelente estado y muy rápido"
20,"La página web no es fácil de usar, deberían mejorarla"
21,"El personal conoce mucho sobre los juegos, eso es genial"
22,"La tienda estaba algo desordenada, pero tenían buenos precios"
23,"Me encanta el ambiente de la tienda, se siente muy acogedor"
24,"No tenían el juego que buscaba, fue frustrante"
25,"El servicio de atención fue excelente, muy atentos"
26,"Los precios son razonables y competitivos"
27,"El reembolso fue complicado, no volveré a comprar aquí"
28,"El sistema de preventas es eficiente, lo recomiendo mucho"
29,"Me dieron información errónea sobre un producto, mal servicio"
30,"Siempre tienen ofertas interesantes, eso me gusta"
31,"La atención fue regular, podrían ser más rápidos"
32,"El envío llegó antes de lo esperado, estoy muy satisfecho"
33,"No tienen suficientes opciones de pago, deberían mejorarlo"
34,"El proceso de compra fue muy sencillo y claro"
35,"La atención telefónica fue muy mala, no lo recomiendo"
36,"Me dieron un descuento inesperado, fue una gran sorpresa"
37,"Los empleados no son muy amables, podría mejorar el servicio"
38,"El juego que compré funciona perfectamente, estoy feliz"
39,"Los tiempos de espera en la fila son algo largos"
40,"Siempre encuentro productos exclusivos, es genial"
41,"El personal me ignoró por varios minutos, no fue agradable"
42,"El servicio postventa es excelente, solucionaron mi problema rápido"
43,"El sitio web tiene muchos errores, no es fácil de usar"
44,"Los precios en línea son muy buenos, estoy satisfecho"
45,"Los envíos llegan tarde, no cumplen con los tiempos prometidos"
46,"La experiencia en tienda física es siempre agradable"
47,"El empaque del producto estaba maltratado, deberían mejorar esto"
48,"El programa de recompensas es muy bueno, me encanta"
49,"No encontré muchas opciones de juegos antiguos, fue decepcionante"
50,"El personal siempre está dispuesto a ayudar, son muy atentos"
51,"El personal fue amable, pero tardaron mucho en atenderme"
52,"La variedad de juegos retro es excelente, los coleccionistas estarán felices"
53,"El envío se retrasó dos días, aunque llegó en buen estado"
54,"El sistema de recompensas no es tan bueno como esperaba"
55,"Los empleados fueron muy pacientes y resolvieron todas mis dudas"
56,"Los precios son más altos que en otras tiendas, no estoy convencido"
57,"La atención al cliente es fantástica, siempre ayudan mucho"
58,"Los juegos digitales son fáciles de comprar, pero algunos no tienen ofertas"
59,"El producto llegó dañado, no esperaba esto de una tienda reconocida"
60,"Me sorprendió lo rápido que procesaron mi compra, excelente servicio"
61,"No tenían existencias del juego que promocionaban, fue decepcionante"
62,"El personal parece conocer mucho sobre videojuegos, fue muy útil"
63,"La tienda tiene muchas opciones para niños, es perfecto para mi familia"
64,"El sitio web es lento y difícil de navegar, necesita mejoras"
65,"La experiencia de compra fue muy buena, volveré pronto"
66,"La política de devoluciones es complicada, no me gusta"
67,"Los descuentos son increíbles, siempre reviso las ofertas"
68,"El juego llegó defectuoso, no volveré a comprar aquí"
69,"La tienda física tiene un diseño atractivo y bien organizado"
70,"Me dieron información muy útil para elegir el mejor regalo"
71,"Las preventas son desorganizadas, no recibí mi juego a tiempo"
72,"El personal fue amable, pero el inventario es limitado"
73,"El empaque del juego fue excelente, llegó en perfectas condiciones"
74,"Los puntos de recompensa no valen mucho, es algo decepcionante"
75,"La experiencia general fue positiva, aunque algo cara"
76,"El tiempo de espera en línea para atención fue demasiado largo"
77,"Los descuentos de temporada son muy buenos, siempre compro algo"
78,"Me enviaron un producto equivocado, pero lo resolvieron rápidamente"
79,"El catálogo de productos es limitado, esperaba más opciones"
80,"El servicio fue rápido y eficiente, estoy muy satisfecho"
81,"Los precios son algo elevados para lo que ofrecen"
82,"El diseño de la tienda online es muy atractivo y funcional"
83,"El reembolso tomó demasiado tiempo, no fue una buena experiencia"
84,"La variedad de accesorios es impresionante, siempre encuentro algo nuevo"
85,"No me gustó la atención del personal, parecían distraídos"
86,"El proceso de compra es muy claro y sencillo"
87,"El empaque del producto estaba en mal estado, deberían mejorar"
88,"Siempre tienen los juegos más recientes, eso me encanta"
89,"El personal no me ayudó con mis dudas, no fue agradable"
90,"El servicio técnico solucionó mi problema de inmediato, excelente"
91,"Los envíos internacionales son muy lentos, fue una mala experiencia"
92,"El ambiente de la tienda física es muy agradable, disfruto ir"
93,"La página web tiene errores al procesar pagos, fue frustrante"
94,"Los precios de segunda mano son excelentes, recomiendo esta opción"
95,"El producto no coincidía con la descripción, no estoy satisfecho"
96,"La atención personalizada fue excelente, superó mis expectativas"
97,"El sistema de cupones es complicado de usar, deberían mejorarlo"
98,"La calidad de los productos es siempre buena, nunca he tenido problemas"
99,"No tenían suficientes copias del juego que buscaba, fue decepcionante"
100,"La entrega fue muy rápida, en menos de 24 horas, impresionante"
101,"El servicio al cliente fue muy malo, no recomendaría esta tienda"
102,"Los descuentos en juegos digitales son buenos, siempre reviso"
103,"La tienda física es muy accesible y bien organizada"
104,"El producto llegó tarde y el soporte no fue útil"
105,"El personal resolvió un problema técnico muy rápido, excelente trabajo"
106,"El inventario en línea no está actualizado, fue frustrante"
107,"Los precios son muy competitivos, me gusta comprar aquí"
108,"La calidad del servicio al cliente fue regular, pueden mejorar"
109,"El sistema de preventas no me convenció, no llegó a tiempo"
110,"El proceso de cambio de un producto fue rápido y sencillo"
111,"La página web es algo confusa, pero los productos son buenos"
112,"Siempre tienen buenas recomendaciones, eso me gusta mucho"
113,"No encontré lo que buscaba, aunque el personal fue amable"
114,"Los tiempos de espera son largos, deberían contratar más empleados"
115,"La calidad de los productos es excelente, estoy muy satisfecho"
116,"La tienda online es lenta, pero la atención es buena"
117,"El sistema de recompensas no me parece útil, es confuso"
118,"La política de devoluciones fue sencilla, me gustó"
119,"No me gustó el trato del personal, fue poco profesional"
120,"El catálogo de juegos es amplio y variado, siempre encuentro algo"
121,"La tienda física estaba algo desordenada, pero tenían lo que buscaba"
122,"El envío internacional llegó rápido y en buen estado"
123,"La experiencia general fue buena, pero podrían mejorar el inventario"
124,"Los descuentos de temporada son excelentes, aprovecho siempre"
125,"La atención al cliente fue excepcional, muy amables y pacientes"
126,"Los tiempos de envío son largos, deberían mejorar eso"
127,"La tienda tiene juegos exclusivos, eso me encanta"
128,"El sitio web es complicado de usar, fue frustrante"
129,"El personal me ayudó a resolver un problema rápidamente, muy atentos"
130,"La variedad de productos es excelente, siempre encuentro lo que busco"
131,"El producto llegó en mal estado, fue una mala experiencia"
132,"Los precios de segunda mano son muy accesibles, me gustan"
133,"El personal no fue muy amable, no volveré a comprar aquí"
134,"La experiencia de compra en línea fue perfecta, muy recomendada"
135,"El reembolso fue rápido, no tuve problemas"
136,"El juego llegó sin ningún daño, en perfecto estado"
137,"El soporte técnico fue malo, no resolvieron mi problema"
138,"El empaque del producto fue perfecto, me sorprendió"
139,"Los juegos digitales son muy fáciles de descargar, me gusta"
140,"La tienda física tiene un excelente diseño y es muy cómoda"
141,"La calidad de atención en línea es buena, pero algo lenta"
142,"Los precios son razonables, pero los tiempos de envío no son buenos"
143,"Siempre encuentro ofertas increíbles, soy cliente frecuente"
144,"No tienen suficientes opciones de accesorios, deberían agregar más"
145,"La entrega fue tardía, pero el producto llegó en buen estado"
146,"El personal fue muy amable y me ofreció varias opciones"
147,"La política de cambios es sencilla y rápida, fue muy útil"
148,"El sistema de puntos de recompensa no es claro, deberían mejorarlo"
149,"Siempre tienen los juegos más recientes, es genial"
150,"El servicio en general es bueno, aunque algo caro"
